district,state,POPULATION ,date,dose_1,dose_2,confirmed,deceased,recovered,tested
Jhansi,UP,2000755,26/11/20,1132511,379818,36556,663,35892,312540
Satara,MH,3003922,30/01/21,1963730,865197,250414,6428,243482,312742
Mirzapur,UP,2494533,31/01/21,1335308,462157,11088,116,10972,312764
Bijnor,UP,3683896,30/01/21,1756682,600482,14794,126,14668,312985
South Goa,GA,639962,,661972,487016,0,0,0,313581.38
Kushinagar,UP,3560830,30/01/21,1632782,458054,15617,228,15389,314772
West Garo Hills,ML,642923,,209662,119725,9027,72,8943,315032.27
Subarnapur,OR,652107,,418336,192102,13187,61,13115,319532.43
Palghar,MH,2990116,30/01/21,1869199,678741,138013,3282,134309,319724
Hisar,HR,1742815,30/01/21,994213,332162,53995,1136,52857,322039
Nawada,BR,2216653,16/11/20,1062349,274319,10353,178,10174,322514
Firozabad,UP,2496761,31/01/21,1005224,328351,8720,135,8585,322656
Jaunpur,UP,4476072,20/01/21,2189622,667013,22584,235,22349,322824
Hailakandi,AS,659260,,422295,146888,0,0,0,323037.4
Munger,BR,1359054,31/01/21,707588,264665,15111,158,14953,325212
Jogulamba Gadwal,TG,664971,,306919,59886,0,0,0,325835.79
Baghpat,UP,1302156,31/01/21,692255,337171,9132,141,8991,327192
Lakhisarai,BR,1000717,31/01/21,461970,138407,7776,102,7674,332434
Maharajganj,UP,2665292,31/01/21,1283534,372559,12440,140,12300,334716
Dhemaji,AS,688077,,431792,184251,0,0,0,337157.73
Udham Singh Nagar,UT,1648367,30/01/21,1277738,518326,37875,761,36315,337292
Jamui,BR,1756078,31/01/21,800488,222093,9418,106,9312,342005
Kanpur Dehat,UP,1795092,10/01/21,923661,290898,6197,110,6087,344697
Adilabad,TG,708952,,376263,89337,0,0,0,347386.48
Nirmal,TG,709415,,378315,130107,0,0,0,347613.35
Jayashankar Bhupalapally,TG,712257,,262313,127108,0,0,0,349005.93
Warangal Rural,TG,716457,,342881,105289,0,0,0,351063.93
Koderma,JH,717169,,363078,140609,12872,136,12736,351412.81
Kota,RJ,1950491,01/02/21,1269245,655588,57053,449,56603,355509
Latehar,JH,725673,,294989,84919,7871,57,7814,355579.77
Yadadri Bhuvanagiri,TG,726465,,463854,223506,0,0,0,355967.85
Saharsa,BR,1897102,31/01/21,995618,366567,17616,134,17482,356327
Alirajpur,MP,728677,,369571,114601,3505,48,3453,357051.73
Bongaigaon,AS,732639,,493242,183782,0,0,0,358993.11
Budgam,JK,735753,,592075,319587,23844,207,23548,360518.97
Banka,BR,2029339,31/01/21,935177,351254,7379,112,7267,364776
Wanaparthy,TG,751553,,289412,81870,0,0,0,368260.97
Lakhimpur Kheri,UP,4013634,30/01/21,1829019,382178,24410,292,24117,368533
Haridwar,UT,1927029,30/01/21,1456257,635360,51498,1019,49096,369542
Medak,TG,767428,,458648,140778,0,0,0,376039.72
Ayodhya,UP,2468371,31/01/21,1270889,418182,16919,290,16629,376735
Nalbari,AS,769919,,483076,168392,0,0,0,377260.31
Nagpur,MH,4653171,18/10/20,3006439,1460890,493607,9128,484334,382083
Kendrapara,OR,1439891,19/10/20,916169,347854,24860,252,24545,382732
Rae Bareli,UP,3404004,30/01/21,1436175,344694,17104,343,16761,387408
Peddapalli,TG,795332,,463510,201940,0,0,0,389712.68
Kannur,KL,2525637,01/01/21,1891004,959656,275264,2325,269475,392136
Bhavnagar,GJ,2877961,02/02/21,1680398,986097,21447,301,21143,392834
Mancherial,TG,807037,,480069,170258,0,0,0,395448.13
Belagavi,KA,4778439,02/01/21,3165252,1386668,79900,938,78879,396565
Moradabad,UP,4773138,13/01/21,1390249,443211,39102,349,38752,400459
North Goa,GA,817761,,600586,424066,0,0,0,400702.89
Dehradun,UT,1698560,30/01/21,1465464,793803,112363,3521,108137,401496
Ballari,KA,2532383,28/12/20,1758198,864065,97763,1689,95961,402407
East Khasi Hills,ML,824059,,318381,225526,41025,987,39754,403788.91
Kalaburagi,KA,2564892,30/01/21,1323039,641641,61926,819,61087,409596
Sindhudurg,MH,848868,,524896,279051,52783,1434,50987,415945.32
