district,state,POPULATION ,date,dose_1,dose_2,confirmed,deceased,recovered,tested
Dumka,JH,1321096,23/07/20,638722,229944,4636,47,4589,5400
Chikkamagaluru,KA,1137753,28/06/20,737417,346002,51126,395,50662,5467
Peren,NL,163294,11/12/20,19956,12514,920,6,897,5717
Cuttack,OR,2618708,17/05/20,1434524,702278,94631,857,93404,5720
Upper Subansiri,AR,83205,28/01/21,24842,16390,1958,6,1952,6217
Pakur,JH,899200,23/07/20,378048,108941,2552,12,2539,6429
Upper Siang,AR,35289,28/01/21,18594,13671,1016,1,1015,6564
Kinnaur,HP,84298,19/12/20,79673,63209,3507,38,3465,6730
Lepa Rada,AR,13769,28/01/21,13328,10176,874,3,871,6747
Hingoli,MH,1178973,03/08/20,537442,201000,18475,506,17949,6797
Deoghar,JH,1491879,23/07/20,569167,230458,10835,113,10721,6951
Lower Siang,AR,80597,28/01/21,16565,9990,738,8,730,7070
East Kameng,AR,78413,28/01/21,22931,15646,1094,0,1094,7489
Lohardaga,JH,461738,25/07/20,173109,63130,6709,88,6621,7526
Perambalur,TN,564511,23/07/20,326872,136491,12067,243,11790,7981
Diu,DN,52074,20/10/20,38779,31153,1218,0,1218,8259
Koppal,KA,1391292,28/06/20,814373,411092,35198,521,34660,8708
Gadag,KA,1065235,28/06/20,691646,328477,26066,319,25747,8904
Balaghat,MP,1701156,19/08/20,1278183,549643,9100,64,9017,9654
Balasore,OR,2317419,17/05/20,1351099,534318,40787,299,40389,9843
Korba,CT,1206563,14/06/20,650457,287588,54847,580,54228,10034
Longding,AR,60000,28/01/21,19259,7826,752,2,749,10342
Lower Subansiri,AR,82839,28/01/21,26916,18827,3036,15,3015,10564
Hassan,KA,1776221,28/06/20,1224599,614828,111785,1256,110294,10800
Godda,JH,1311382,23/07/20,527710,198198,5840,87,5753,10980
Ahmednagar,MH,4543083,19/07/20,2468837,881402,339457,7043,330122,11077
Giridih,JH,2445203,23/07/20,994417,301193,8964,130,8834,11132
Jind,HR,1332042,13/07/20,704573,250859,21209,533,20675,11157
Kaithal,HR,1072861,13/07/20,615168,217439,11244,346,10898,11687
Haveri,KA,1598506,28/06/20,999178,383705,21947,644,21301,11714
Bokaro,JH,2061918,23/07/20,994497,333330,19461,286,19170,11798
Aurangabad,MH,3695928,30/05/20,1772420,723304,155331,4251,150615,11800
Gadchiroli,MH,1071795,23/07/20,540319,231208,30440,669,29735,11993
Kullu,HP,437474,29/09/20,351261,203549,9692,158,9496,12012
Lower Dibang Valley,AR,53986,28/01/21,32639,22089,2426,11,2397,12169
Mon,NL,259604,11/12/20,70054,48331,1159,14,1124,12278
Azamgarh,UP,4616509,27/12/20,2165409,643824,17906,228,17675,12474
Raipur,CT,4062160,14/06/20,1557999,915437,158035,3139,154852,12704
Burhanpur,MP,756993,18/08/20,493618,220909,2568,39,2529,13040
West Siang,AR,112272,28/01/21,33773,27867,1868,6,1856,13192
Churachandpur,MN,271274,23/09/20,104247,62208,0,0,0,13542
Uttara Kannada,KA,1353299,28/06/20,980496,505589,56218,766,55339,13833
Tawang,AR,49950,28/01/21,29553,23287,2577,20,2533,14224
Krishnagiri,TN,1883731,23/07/20,1040491,407695,43570,348,43036,14284
Tirap,AR,111997,28/01/21,31565,21200,1109,5,1102,14657
Mandya,KA,1808680,28/06/20,1189318,659066,73753,650,73029,14874
Lohit,AR,145538,28/01/21,31120,22003,2885,26,2851,14945
Seoni,MP,1378876,19/09/20,945564,341871,6775,28,6739,15024
Chikkaballapura,KA,1254377,28/06/20,852473,497674,43951,429,43501,15089
Damoh,MP,1263703,19/09/20,844557,326505,8120,186,7841,16564
Khandwa,MP,1309443,24/08/20,862885,310248,4044,94,3946,17090
Karur,TN,1076588,23/07/20,626136,289120,24091,356,23523,17190
Davanagere,KA,1946905,28/06/20,1016827,495371,50989,608,50359,17483
Nicobars,AN,36842,,25394,20313,0,0,0,18052.58
Shahdol,MP,1064989,19/09/20,723227,337272,10085,118,9958,18177
Ariyalur,TN,752481,23/07/20,475390,157166,16854,261,16548,18285
Daman,DN,191173,20/10/20,234202,155547,3543,1,3516,19338
Namsai,AR,95950,28/01/21,63539,47104,2124,17,2102,19987
Ranipet,TN,1210277,23/07/20,557267,174051,43436,775,42557,20118
Pudukkottai,TN,1918725,23/07/20,827320,314780,30183,416,29627,20835
Nagapattinam,TN,1614069,23/07/20,813495,289588,21074,346,20561,20984
Raichur,KA,1924773,28/06/20,1021603,448501,39973,331,39641,21011
North Sikkim,SK,43354,,33137,27820,0,0,0,21243.46
Jiribam,MN,43818,,27911,17262,0,0,0,21470.82
Lalitpur,UP,1218002,07/08/20,627553,143519,12742,128,12613,21781
East Siang,AR,99019,28/01/21,54001,39434,3206,17,3183,21867
Kamjong,MN,45616,,10502,5370,0,0,0,22351.84
Niwari,MP,46069,29/11/20,0,0,3715,48,3654,22574
Rewa,MP,2363744,18/08/20,1639826,674779,16433,155,16270,22690
Pherzawl,MN,47250,,12417,9888,0,0,0,23152.5
Ramanathapuram,TN,1337560,23/07/20,660673,280037,20564,357,20158,23389
Faridkot,PB,618008,02/09/20,330654,128653,13927,315,13602,23635
Changlang,AR,147951,28/01/21,88857,55361,3807,22,3780,23861
Tirupathur,TN,1111812,23/07/20,541496,205219,29301,625,28600,23998
Khowai,TR,327391,02/02/21,202148,111955,4559,54,4500,24046
Udalguri,AS,832769,16/09/20,504439,133919,0,0,0,24661
Namakkal,TN,1721179,23/07/20,987830,397079,52245,498,51253,24758
Vijayapura,KA,2175102,28/06/20,1535235,634270,36267,495,35764,25108
Sivaganga,TN,1341250,23/07/20,726010,287468,20195,206,19854,25824
Rohtak,HR,1058683,13/07/20,674649,305282,25903,534,25350,25894
Tenkasi,TN,1407627,23/07/20,736882,233177,27357,484,26834,26338
Yanam,PY,55626,27/01/21,30079,15489,6773,107,6661,26727
Mansa,PB,768808,02/09/20,372366,89830,15606,380,15226,26878
Fatehabad,HR,941522,29/08/20,574546,201763,17875,481,17394,27456
Saiha,MZ,56366,,34626,19984,5469,14,5304,27619.34
Dindigul,TN,2161367,23/07/20,1236504,493453,33099,645,32348,27800
West Kameng,AR,87013,28/01/21,55710,40321,3545,14,3518,28155
Satna,MP,2228619,19/09/20,1532585,481540,11965,133,11829,28159
Kallakurichi,TN,1370281,23/07/20,696213,299822,31364,210,31056,28314
Virudhunagar,TN,1943309,23/07/20,1072788,505098,46294,548,45687,28620
Pathankot,PB,626154,02/09/20,424889,196822,18814,419,18373,29112
Sheopur,MP,687952,29/11/20,413195,140296,4000,78,3919,31449
Ujjain,MP,1986864,19/09/20,1452247,836514,18903,172,18720,31631
Serchhip,MZ,64875,,41932,36047,4210,10,3646,31788.75
Dang,GJ,226769,02/02/21,156334,59262,866,18,848,31921
Shimla,HP,813384,19/12/20,678341,412640,27549,641,26786,32922
Kohima,NL,270063,11/12/20,105758,82602,9461,123,9095,33986
Unokoti,TR,277335,02/02/21,173390,101178,8609,68,8530,34930
Tiruppur,TN,2471222,23/07/20,1671392,611015,95405,979,93683,36301
Cuddalore,TN,2600880,23/07/20,1529591,646400,64085,867,62997,36434
Harda,MP,570302,02/12/20,394641,159293,5055,96,4954,36708
Kargil,LA,143000,14/01/21,87221,64300,3619,58,3556,37471
Kancheepuram,TN,1166401,23/07/20,663206,250181,74970,1258,73386,37505
Nandurbar,MH,1646177,12/12/20,723850,342054,40006,948,39054,37740
Khargone,MP,1872413,19/09/20,1147444,411114,13970,239,13716,38413
Kapurthala,PB,817668,02/09/20,465285,187476,17852,556,17294,38658
Bilaspur,HP,382056,19/12/20,323204,234916,14374,85,14120,39738
Guna,MP,1240938,04/12/20,821399,284155,5132,44,5085,40229
Datia,MP,786375,04/12/20,560238,296233,6959,78,6874,40322
Kolasib,MZ,83054,,50525,33101,7721,30,7561,40696.46
S.A.S. Nagar,PB,986147,02/09/20,872096,402212,68821,1068,67726,41532
Barwani,MP,1385659,19/11/20,788872,225336,8366,90,8267,41588
Mandi,HP,999518,19/12/20,775242,479355,31606,448,30983,41895
Papum Pare,AR,176385,28/01/21,141168,100258,18316,98,18212,41960
Mamit,MZ,85757,,43678,28873,4854,12,4448,42020.93
Mahe,PY,41816,27/01/21,34018,25943,5867,47,5744,42415
Sirmaur,HP,530164,19/12/20,423793,209631,15456,211,15244,42564
Tikamgarh,MP,1444920,29/11/20,919592,293885,6863,114,6742,43011
Raisen,MP,1331699,29/11/20,885585,333022,9238,194,9030,44343
Bhind,MP,1703562,16/11/20,1034374,351065,2995,32,2960,44395
Dadra and Nagar Haveli,DN,343709,20/10/20,387772,183553,5920,3,5910,44813
Sehore,MP,1311008,29/11/20,909045,396375,10136,73,10057,45061
Nilgiris,TN,735071,23/07/20,501986,343811,33566,212,33164,45839
Theni,TN,1243684,23/07/20,660187,304832,43571,521,43018,45839
Baran,RJ,1223921,01/02/21,763006,297741,11996,61,11934,46168
Hoshangabad,MP,1240975,04/12/20,865566,369945,10688,99,10570,46294
Rajgarh,MP,1546541,04/12/20,1025584,450099,8729,172,8490,46604
Jagatsinghpur,OR,1136604,15/09/20,677675,272499,27920,316,27510,46648
Dimapur,NL,379769,11/12/20,268405,175502,14684,421,13471,47020
Shivpuri,MP,1725818,19/11/20,1109976,391707,12398,125,12261,47270
Gomati,TR,436868,02/02/21,279099,161408,8134,74,8043,47437
Vellore,TN,1614242,23/07/20,763735,336366,49864,1131,48564,47936
Shivamogga,KA,1755512,21/08/20,1162073,535447,69444,1088,68239,48760
Banswara,RJ,1798194,01/02/21,1024293,525793,10005,104,9901,48781
Thoothukkudi,TN,1738376,23/07/20,984706,328797,56304,409,55757,49288
Bagalkote,KA,1890826,23/08/20,1188016,613422,35178,333,34843,49851
Chhatarpur,MP,1762857,09/12/20,1093616,336309,7609,91,7506,50518
Ratlam,MP,1454483,29/11/20,1026416,457972,17860,385,17438,51736
North and Middle Andaman,AN,105597,,78945,59522,0,0,0,51742.53
Chengalpattu,TN,2556244,23/07/20,1337641,604784,171777,2506,168327,51771
Viluppuram,TN,2093003,23/07/20,1085842,444502,45857,356,45382,52064
Jhabua,MP,1024091,04/12/20,607542,185320,7691,64,7619,52146
Wardha,MH,1296157,31/10/20,755863,314899,57344,1217,55956,52365
Rudraprayag,UT,236857,30/01/21,170911,113480,8800,106,8535,52378
Mandsaur,MP,1339832,04/12/20,948065,330902,8637,84,8552,52733
Una,HP,521057,19/12/20,434945,286819,14268,253,13804,52905
Sipahijala,TR,484233,02/02/21,330932,211903,6360,75,6273,53067
Chamba,HP,518844,19/12/20,364258,198146,13687,160,13492,53505
Jajpur,OR,1826275,23/08/20,1087735,383313,43735,172,43461,53956
South West Khasi Hills,ML,110152,,33372,17117,2548,17,2525,53974.48
Bhandara,MH,1198810,11/10/20,825867,421585,60080,1123,58945,54195
Tirunelveli,TN,1665253,23/07/20,815687,275985,49374,432,48812,54208
Umaria,MP,643579,19/11/20,455492,196492,6294,63,6224,54811
Bageshwar,UT,259840,30/01/21,183447,131244,5764,60,5678,55626
Ashoknagar,MP,844979,31/01/21,550087,186066,3670,57,3613,55792
Shajapur,MP,1512353,01/02/21,620316,278912,6349,74,6273,56805
Katni,MP,1291684,18/12/20,865274,306259,9366,120,9242,56828
Solan,HP,576670,19/12/20,691163,339630,22817,314,22472,57200
Neemuch,MP,825958,04/12/20,579489,229183,7926,84,7828,57292
Lawngtlai,MZ,117444,,55877,25870,6740,23,6553,57547.56
North Garo Hills,ML,118325,,62675,28288,1685,8,1674,57979.25
Bundi,RJ,1113725,01/02/21,709316,362835,7967,48,7919,58167
Charkhi Dadri,HR,502276,28/10/20,364599,262184,5078,139,4939,58525
Panipat,HR,1202811,06/10/20,830805,273172,31150,638,30510,58863
East Jaintia Hills,ML,122436,,64432,33259,2430,31,2395,59993.64
Champhai,MZ,125370,,74122,55251,5188,11,4745,61431.3
Dhalai,TR,377988,02/02/21,258334,164654,7037,35,7000,61582
Dausa,RJ,1637226,01/02/21,941513,395584,13351,62,13289,61680
Dhar,MP,2184672,02/12/20,1371226,536214,12572,130,12388,62597
Barnala,PB,596294,20/12/20,328464,104197,5950,244,5696,63447
Fazilka,PB,1180483,10/12/20,490080,131519,20271,528,19729,63589
Karauli,RJ,1458459,01/02/21,813922,395700,7156,70,7086,64481
Sagar,MP,2378295,19/09/20,1563245,760746,16622,390,16154,64801
Vidisha,MP,1458212,04/12/20,975291,349024,11922,237,11677,65935
Erode,TN,2259608,23/07/20,1370925,552624,104303,686,102836,66240
Kakching,MN,135481,,84702,49653,0,0,0,66385.69
West Sikkim,SK,136299,,103619,88896,0,0,0,66786.51
Thiruvarur,TN,1268094,23/07/20,630274,246969,41461,442,40760,67445
Thanjavur,TN,2402781,23/07/20,1224986,486660,75352,972,73874,67445
Bidar,KA,1700018,29/08/20,929776,515993,24340,400,23936,67689
Thiruvallur,TN,3725697,23/07/20,1425728,563426,119370,1842,117138,67948
Sri Muktsar Sahib,PB,902702,12/12/20,473193,142901,18784,524,18257,67979
Betul,MP,1575247,31/01/21,1042931,343674,12905,277,12590,68036
Fatehgarh Sahib,PB,599814,20/12/20,354921,135247,8876,335,8538,68436
Tamenglong,MN,140143,,19931,10361,0,0,0,68670.07
South Garo Hills,ML,142574,,40103,18937,1216,12,1203,69861.26
Chandel,MN,144028,,26634,15197,0,0,0,70573.72
South Sikkim,SK,146742,,121481,105432,0,0,0,71903.58
Leh,LA,147000,14/01/21,121577,87980,17343,150,17131,72597
Pithoragarh,UT,485993,30/01/21,318644,183765,10260,181,9962,72686
Karaikal,PY,200222,27/01/21,111152,57491,16488,250,16150,73142
Tonk,RJ,1421711,01/02/21,884688,419023,9498,92,9406,74225
Ferozepur,PB,2026831,20/12/20,476343,128043,14347,504,13832,74880
Lunglei,MZ,154094,,95129,73298,9842,27,9053,75506.06
Narmada,GJ,590379,02/02/21,413260,279684,5955,15,5940,76134
Tiruvannamalai,TN,2468965,23/07/20,1270049,533376,54968,667,54122,76170
Moga,PB,992289,20/12/20,541556,178908,8675,233,8440,77307
Shahid Bhagat Singh Nagar,PB,614362,20/12/20,392113,172294,11469,388,11080,77715
Chhindwara,MP,2090306,31/01/21,1624355,591843,6734,120,6612,79090
Kanyakumari,TN,1863178,23/07/20,1100888,450620,62362,1048,61112,79600
Salem,TN,3480008,23/07/20,1925084,791376,99893,1685,97619,79660
Jaisalmer,RJ,672008,01/02/21,416014,194163,13639,66,13573,80082
Devbhumi Dwarka,GJ,752484,02/02/21,504501,309771,4175,82,4093,80424
Ganganagar,RJ,1969520,01/02/21,1278952,525137,19354,150,19203,80706
Majuli,AS,167304,,117599,82507,0,0,0,81978.96
Hanumangarh,RJ,1779650,01/02/21,1230511,588688,16053,111,15942,82542
Fatehpur,UP,2632684,10/01/21,1246314,410120,6814,139,6674,82928
South Tripura,TR,433737,02/02/21,303987,209259,10168,53,10104,83030
Almora,UT,621927,30/01/21,378242,215715,12190,196,11378,84443
South West Garo Hills,ML,172495,,73397,39210,1872,17,1852,84522.55
Sirohi,RJ,1037185,01/02/21,610090,348789,13732,79,13653,84616
Sawai Madhopur,RJ,1338114,01/02/21,756544,347992,10618,61,10557,84683
Udupi,KA,1177908,13/09/20,919074,529427,76718,489,76181,86092
Balangir,OR,1648574,11/10/20,960786,299153,23397,126,23257,87867
Amritsar,PB,2490891,02/09/20,1263073,446487,47379,1598,45757,89227
Ukhrul,MN,183115,,22193,14759,0,0,0,89726.35
Dhule,MH,2048781,11/10/20,1007007,476051,46172,654,45501,90092
Chamoli,UT,391114,30/01/21,273850,191420,12242,62,11972,90390
Narsinghpur,MP,1092141,30/01/21,803225,318284,11209,81,11115,90600
Morena,MP,1965137,01/02/21,1295658,582833,8236,95,8135,90967
Kolar,KA,1540231,14/10/20,991957,625918,46916,638,46266,91924
Rajsamand,RJ,1158283,01/02/21,691497,299553,17044,169,16875,91975
Tapi,GJ,806489,02/02/21,527345,303297,4441,24,4417,92524
Tiruchirappalli,TN,2713858,07/08/20,1468456,636356,77534,1059,76038,92586
Nuh,HR,1089406,01/11/20,354422,78081,5014,123,4890,93389
Chhota Udaipur,GJ,1071831,02/02/21,635695,420157,3395,38,3357,93838
Kangra,HP,1507223,19/12/20,1182563,725754,50818,1125,48872,94910
Champawat,UT,259315,30/01/21,183354,119870,7603,53,7358,95068
Dewas,MP,1563107,31/01/21,1005266,477219,7723,51,7672,96155
Pune,MH,9426959,12/01/21,7843130,4264808,1154776,19594,1131401,97127
Jhalawar,RJ,1411327,01/02/21,922646,363082,13612,187,13425,97163
Madurai,TN,3991038,23/07/20,1500331,583138,75215,1172,73853,97279
Rupnagar,PB,683349,20/12/20,384637,182919,12963,423,12517,97745
Porbandar,GJ,586062,02/02/21,419364,256377,3486,19,3467,97912
Botad,GJ,656005,02/02/21,378232,228691,2218,42,2176,98559
Pratapgarh,UP,3173752,14/01/21,1480021,456869,16038,163,15875,100500
North Tripura,TR,415946,02/02/21,283802,190594,7250,34,7199,100931
Arwal,BR,700843,31/01/21,345175,116424,7381,74,7307,101624
Coimbatore,TN,3472578,23/07/20,2717202,1205484,246780,2416,243070,102107
Ramanagara,KA,1082739,25/11/20,754463,469335,24204,320,23869,103399
Surguja,CT,420661,18/11/20,468885,277031,33673,245,33426,103578
Dima Hasao,AS,213529,,116318,62593,0,0,0,104629.21
Tehri Garhwal,UT,616409,30/01/21,381493,206527,15835,108,14827,105111
Tumakuru,KA,2681449,24/09/20,1672730,881580,120836,1127,119420,106564
Auraiya,UP,1372287,10/01/21,614711,180775,10090,203,9887,107079
Mysuru,KA,2994744,31/08/20,2141764,1239770,179167,2416,176447,107338
Osmanabad,MH,1660311,07/01/21,803192,308210,67828,1963,65577,109450
Parbhani,MH,1835982,30/01/21,905874,378183,52362,1233,51078,110937
Tarn Taran,PB,1120070,18/12/20,597303,178839,8043,380,7659,111446
Beed,MH,2585962,11/10/20,1145382,485615,103749,2806,100803,111488
Kishtwar,JK,230696,,164754,78041,4819,44,4773,113041.04
Barmer,RJ,2604453,01/02/21,1455732,621465,15563,185,15377,113868
Capital Complex,AR,235122,24/12/20,0,0,0,0,0,115210
Buldhana,MH,2588039,30/01/21,1136679,512944,85520,797,84710,115874
Chittorgarh,RJ,1544392,01/02/21,978713,482350,19809,139,19670,116002
South Andaman,AN,238142,,189662,120322,0,0,0,116689.58
Jalna,MH,1958483,30/01/21,1081253,413822,60615,1209,59382,117047
Nanded,MH,3356566,03/11/20,1560558,560812,90409,2658,87721,117319
Bishnupur,MN,240363,,128902,64791,0,0,0,117777.87
Bathinda,PB,1388859,20/12/20,623604,202311,41728,1042,40668,118489
Panchkula,HR,558890,05/12/20,456675,279951,30770,378,30379,118725
Bhadohi,UP,1554203,31/01/21,793094,244431,7720,163,7557,119023
Uttarkashi,UT,329686,30/01/21,234425,160687,12548,74,12129,120026
Dholpur,RJ,1207293,01/02/21,660103,279501,11010,48,10962,121308
Dungarpur,RJ,1388906,01/02/21,737200,349762,18407,131,18276,121917
Gir Somnath,GJ,1217477,02/02/21,845224,363467,8570,67,8499,121948
Aravalli,GJ,1051746,02/02/21,717964,522361,5186,78,5108,122182
Mahisagar,GJ,994624,02/02/21,815594,459520,8194,72,8122,122796
Ambedkar Nagar,UP,2398709,31/01/21,1135268,349925,5040,152,4885,123151
Kalimpong,WB,251642,,180713,124420,7036,54,6950,123304.58
Jhunjhunu,RJ,2139658,01/02/21,1449967,787196,14811,158,14653,123433
Kannauj,UP,1658005,10/01/21,755119,257048,9231,114,9115,124019
Rajnandgaon,CT,1537520,09/11/20,1028876,530711,56077,515,55557,124947
Ribhoi,ML,258380,,92049,48460,9697,89,9584,126606.2
Navsari,GJ,1330711,02/02/21,948673,647484,7215,24,7181,129099
Gondia,MH,1322331,29/01/21,888961,469980,40519,569,39941,130146
Shopiyan,JK,265960,,203036,95122,5607,58,5549,130320.4
Dakshina Kannada,KA,2083625,17/09/20,1531107,848253,115478,1680,113515,131281
Churu,RJ,2041172,01/02/21,1301558,582443,16720,107,16613,131700
West Jaintia Hills,ML,270352,,84529,47646,6803,133,6642,132472.48
Dharwad,KA,1846993,13/10/20,1212295,561504,60970,1315,59639,137696
East Sikkim,SK,281293,,263526,229361,0,0,0,137833.57
Ramban,JK,283313,,220690,147086,6043,67,5971,138823.37
Pauri Garhwal,UT,686527,30/01/21,431320,229262,17686,315,16668,138878
Pulwama,JK,570060,01/01/21,430622,244300,15512,194,15309,139552
Palwal,HR,1040493,30/01/21,608874,221786,11025,153,10872,139809
Yavatmal,MH,2775457,29/01/21,1211321,496306,75967,1798,74159,141551
Sheikhpura,BR,634927,31/01/21,287209,95322,7693,75,7618,142348
Mahoba,UP,876055,10/01/21,444352,148388,4268,86,4182,142992
Mahendragarh,HR,921680,30/01/21,576527,264911,21689,155,21534,143253
Kodagu,KA,554762,31/01/21,385482,212033,37095,329,36616,143982
Mulugu,TG,294671,,186104,76648,0,0,0,144388.79
Ganderbal,JK,297003,,227349,133812,10436,79,10313,145531.47
West Karbi Anglong,AS,300320,,127612,42942,0,0,0,147156.8
Barabanki,UP,3257983,30/01/21,1589704,448292,19850,225,19624,147422
Khagaria,BR,1657599,04/10/20,775019,222012,10064,88,9976,148340
Bhilwara,RJ,2410459,01/02/21,1525323,723691,29781,156,29625,148764
Sirsa,HR,1295114,06/12/20,786205,278920,29282,508,28771,150193
Rewari,HR,896129,30/01/21,648724,294989,20327,221,20106,151363
Reasi,JK,314714,,244379,133971,6626,43,6575,154209.86
Valsad,GJ,1703068,02/02/21,1232139,704675,6405,53,6308,155380
East Garo Hills,ML,317618,,47655,20648,1867,13,1844,155632.82
Bharuch,GJ,1550822,02/02/21,1217587,669742,11426,118,11308,156057
Samba,JK,318611,,280700,122554,7152,120,7032,156119.39
Morbi,GJ,960329,02/02/21,674000,308840,6502,87,6415,157321
Panchmahal,GJ,2388267,02/02/21,1105110,626003,11770,70,11700,160981
Muzaffarnagar,UP,4138605,25/01/21,1264005,467387,31009,269,30737,161704
Saraikela-Kharsawan,JH,1063458,13/12/20,505417,167980,7207,67,7137,161796
Nabarangapur,OR,1218762,25/01/21,675601,188457,23549,86,23461,162154
Dharmapuri,TN,1502900,22/12/20,770955,279901,28425,274,27957,163803
Sikar,RJ,2677737,01/02/21,1838263,821713,30618,335,30283,165042
Sangrur,PB,1654408,19/12/20,730511,218820,15762,875,14884,166332
Patan,GJ,1342746,02/02/21,850462,533438,11624,129,11495,169059
Anand,GJ,2090276,02/02/21,1471865,935893,9637,49,9581,171851
Angul,OR,1271703,27/01/21,786278,291800,43920,393,43506,172873
Puri,OR,1697983,01/12/20,1078666,523160,45431,459,44903,173340
Senapati,MN,354772,,28247,18288,0,0,0,173838.28
Bhiwani,HR,1629109,30/01/21,741251,317765,22409,652,21757,176225
Pali,RJ,2038533,01/02/21,1200554,513058,27324,287,27037,179463
Dhenkanal,OR,1192948,31/01/21,738406,282859,19871,243,19598,179477
Sabarkantha,GJ,2427346,02/02/21,1000517,596705,9317,157,9159,182090
Jalore,RJ,1830151,01/02/21,987519,393953,10067,72,9995,184172
Karnal,HR,1506323,30/01/21,1000120,451876,40037,552,39484,185147
Jhajjar,HR,956907,30/11/20,684511,293496,18849,328,18514,186853
Bandipora,JK,385099,,303665,154345,9814,102,9693,188698.51
West Khasi Hills,ML,385601,,77018,43000,5457,71,5330,188944.49
Yamunanagar,HR,1214162,30/01/21,831598,340196,24631,414,24215,196131
Aizawl,MZ,404054,,315706,239593,75111,300,71337,197986.46
Mathura,UP,2541894,29/01/21,1207578,418117,20297,402,19893,198379
Kurukshetra,HR,964231,29/01/21,610380,248125,22147,357,21789,198881
Sheohar,BR,656916,16/11/20,300967,108766,4404,36,4368,199431
Junagadh,GJ,2742291,02/02/21,1316479,733025,20505,272,20226,199699
Chandrapur,MH,2194262,30/01/21,1335017,458690,88968,1560,87387,199809
Doda,JK,409576,,313983,158751,7869,133,7704,200692.24
Surendranagar,GJ,1755873,02/02/21,1113845,715931,8121,136,7985,201153
Bharatpur,RJ,2549121,01/02/21,1351114,590401,19601,260,19341,201441
West Tripura,TR,917534,02/02/21,676784,470030,32351,420,31817,202939
Nainital,UT,955128,30/01/21,722854,398680,39232,944,38140,204422
Ambala,HR,1136784,30/01/21,873020,571772,30150,509,29639,206003
Thoubal,MN,420517,,141308,62279,0,0,0,206053.33
