state,yr,mnth,daily_confirmed,total_confirmed,daily_recovered,total_recovered,daily_tested,total_tested,daily_deceased,total_deceased,daily_vaccinated1,total_vaccinated1,daily_vaccinated2,total_vaccinated2
UT,2020,July,4302,7183,1937,4168,99089,168113,39,80,0,0,0,0
UT,2020,August,12644,19827,9440,13608,225902,394015,189,269,0,0,0,0
UT,2020,September,29173,49000,25427,39035,318109,712124,342,611,0,0,0,0
UT,2020,October,13328,62328,17888,56923,310656,1034819,412,1023,0,0,0,0
UT,2020,November,12467,74795,10904,67827,317499,1340279,208,1231,0,0,0,0
UT,2020,December,16125,90920,15679,83506,437092,1777371,278,1509,0,0,0,0
UT,2021,January,5209,96129,8460,91966,357181,2134552,135,1644,31228,31228,0,0
UT,2021,February,863,97031,1487,93453,272151,2406703,48,1692,111112,142340,19446,19446
UT,2021,March,3419,100411,1877,95330,333206,2739909,25,1717,434894,577234,102219,121665
UT,2021,April,80110,180521,29235,124565,1042723,3782632,907,2624,1085027,1662261,292217,413882
UT,2021,May,148973,329494,164363,288928,1012253,4794885,3828,6452,572365,2234626,270040,683922
UT,2021,June,10761,340255,36081,325009,739073,5533958,864,7316,1345214,3579840,138052,821974
UT,2021,July,1884,342139,3099,328108,764296,6298254,46,7362,917584,4497424,614724,1436698
UT,2021,August,837,342976,1075,329183,578085,6876339,25,7387,1987307,6484731,594436,2031134
UT,2021,September,561,343537,693,329876,519623,7395962,7,7394,875833,7360564,1108206,3139340
UT,2021,October,359,343896,319,330195,385186,7781148,6,7400,117453,7478017,759002,3898342
WB,2020,March,37,37,3,3,0,0,3,3,0,0,0,0
WB,2020,April,721,758,121,124,16525,16525,30,33,0,0,0,0
WB,2020,May,4743,5501,2033,2157,187226,203751,284,317,0,0,0,0
WB,2020,June,13058,18559,9973,12130,284287,488038,351,668,0,0,0,0
WB,2020,July,51629,70188,36244,48374,405362,893400,913,1581,0,0,0,0
WB,2020,August,92590,162778,85896,134270,994235,1887635,1647,3228,0,0,0,0
WB,2020,September,94271,257049,91489,225759,1339827,3227462,1730,4958,0,0,0,0
WB,2020,October,116615,373664,104178,329937,1328963,4556425,1883,6841,0,0,0,0
WB,2020,November,109820,483484,120825,450762,1316508,5872933,1583,8424,0,0,0,0
WB,2020,December,68579,552063,79604,530366,1237497,7110430,1288,9712,0,0,0,0
WB,2021,January,17935,569998,23906,554272,885424,7995854,461,10173,243143,243143,0,0
WB,2021,February,5120,575118,7271,561543,567424,8563278,95,10268,718273,961416,144765,144765
WB,2021,March,11797,586915,9268,570811,609321,9172599,61,10329,3599719,4561135,524266,669031
WB,2021,April,241451,828366,132587,703398,1259954,10432553,1015,11344,4101369,8662504,1640943,2309974
WB,2021,May,548011,1376377,570390,1273788,1998424,12430977,4197,15541,2172453,10834957,1569600,3879574
WB,2021,June,123406,1499783,187702,1461490,1787215,14218192,2167,17708,5998458,16833415,1177345,5056919
WB,2021,July,28236,1528019,37280,1498770,1512282,15730474,428,18136,4138979,20972394,3628154,8685073
WB,2021,August,20585,1548604,22572,1521342,1270574,17001048,311,18447,8571339,29543733,2870662,11555735
WB,2021,September,20466,1569070,21365,1542707,1144613,18145661,346,18793,11538836,41082569,5126997,16682732
WB,2021,October,23838,1592908,22764,1565471,1082642,19228303,348,19141,15109597,56192166,4877015,21559747
